sport,race_group,race_group_short,year,athlete_race_pct,assistant_pct,hc_pct,promotion_gap,promo_gap_yoy,asst_pct_yoy,hc_pct_yoy,pipeline_strength_score,coach_athlete_rep_gap,hiring_flag,flag_reason,significant_gap,flag_changed_yoy,is_focus_sport
Women's Basketball,American Indian or Alaska Native,Am. Indian,2012,0.4,0.0,0.3,-0.003,,,,,-0.4,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
Women's Basketball,American Indian or Alaska Native,Am. Indian,2013,0.5,0.0,0.3,-0.003,0.0,0.0,0.0,,-0.4,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
Women's Basketball,American Indian or Alaska Native,Am. Indian,2014,0.5,0.0,0.3,-0.003,0.0,0.0,0.0,,-0.5,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
Women's Basketball,American Indian or Alaska Native,Am. Indian,2015,0.4,0.0,0.0,0.0,0.003,0.0,-0.3,,-0.4,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
Women's Basketball,American Indian or Alaska Native,Am. Indian,2016,0.4,0.1,0.0,0.001,0.001,0.1,0.0,0.0,-0.4,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
Women's Basketball,American Indian or Alaska Native,Am. Indian,2017,0.4,0.1,0.0,0.001,0.0,0.0,0.0,0.0,-0.3,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
Women's Basketball,American Indian or Alaska Native,Am. Indian,2018,0.4,0.1,0.0,0.001,0.0,0.0,0.0,0.0,-0.3,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
Women's Basketball,American Indian or Alaska Native,Am. Indian,2019,0.4,0.1,0.3,-0.002,-0.003,0.0,0.3,3.065,-0.3,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
Women's Basketball,American Indian or Alaska Native,Am. Indian,2020,0.4,0.2,0.3,-0.001,0.001,0.1,0.0,1.517,-0.2,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
Women's Basketball,American Indian or Alaska Native,Am. Indian,2021,0.5,0.2,0.0,0.002,0.003,0.0,-0.3,0.0,-0.4,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
Women's Basketball,American Indian or Alaska Native,Am. Indian,2022,0.3,0.2,0.3,-0.001,-0.003,0.0,0.3,1.493,-0.1,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
Women's Basketball,American Indian or Alaska Native,Am. Indian,2023,0.3,0.3,0.3,-0.0,0.001,0.1,0.0,1.039,-0.1,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
Women's Basketball,American Indian or Alaska Native,Am. Indian,2024,0.3,0.2,0.3,-0.001,-0.001,-0.1,0.0,1.878,-0.2,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
Women's Basketball,American Indian or Alaska Native,Am. Indian,2025,0.4,0.4,0.3,0.001,0.002,0.2,0.0,0.784,-0.0,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
Women's Basketball,Asian,Asian,2012,0.6,1.2,0.3,0.009,,,,0.234,0.4,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
Women's Basketball,Asian,Asian,2013,0.5,1.0,0.0,0.01,0.001,-0.2,-0.3,0.0,0.2,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
Women's Basketball,Asian,Asian,2014,0.6,0.9,0.0,0.009,-0.001,-0.1,0.0,0.0,0.1,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
Women's Basketball,Asian,Asian,2015,0.4,0.8,0.0,0.008,-0.001,-0.1,0.0,0.0,0.2,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
Women's Basketball,Asian,Asian,2016,0.3,0.8,0.3,0.005,-0.003,0.0,0.3,0.373,0.3,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
Women's Basketball,Asian,Asian,2017,1.0,0.7,0.3,0.004,-0.001,-0.1,0.0,0.435,-0.5,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
Women's Basketball,Asian,Asian,2018,0.5,1.0,0.6,0.005,0.001,0.3,0.3,0.547,0.4,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
Women's Basketball,Asian,Asian,2019,0.7,1.1,0.6,0.005,0.0,0.1,0.0,0.511,0.3,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
Women's Basketball,Asian,Asian,2020,0.6,0.8,0.6,0.002,-0.003,-0.3,0.0,0.759,0.1,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
Women's Basketball,Asian,Asian,2021,0.6,1.1,0.6,0.006,0.004,0.3,0.0,0.498,0.4,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
Women's Basketball,Asian,Asian,2022,0.7,1.1,0.6,0.006,0.0,0.0,0.0,0.498,0.3,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,True
