sport,race_group,race_group_short,year,athlete_race_pct,assistant_pct,hc_pct,promotion_gap,promo_gap_yoy,asst_pct_yoy,hc_pct_yoy,pipeline_strength_score,coach_athlete_rep_gap,hiring_flag,flag_reason,significant_gap,flag_changed_yoy,is_focus_sport
Women's Acrobat and Tumbling,Asian,Asian,2012,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Asian,Asian,2013,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Asian,Asian,2014,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Asian,Asian,2015,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Asian,Asian,2016,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Asian,Asian,2017,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Asian,Asian,2018,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Asian,Asian,2019,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Asian,Asian,2020,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Asian,Asian,2021,1.9,0.0,,,,,,,-1.9,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Asian,Asian,2022,1.8,0.0,,,,0.0,,,-1.8,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Asian,Asian,2023,1.3,0.0,,,,0.0,,,-1.3,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Asian,Asian,2024,2.3,0.0,,,,0.0,,,-2.3,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Asian,Asian,2025,2.8,6.7,,,,6.7,,,1.3,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Black or African American,Black,2012,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Black or African American,Black,2013,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Black or African American,Black,2014,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Black or African American,Black,2015,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Black or African American,Black,2016,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Black or African American,Black,2017,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Black or African American,Black,2018,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Black or African American,Black,2019,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Black or African American,Black,2020,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Black or African American,Black,2021,7.6,16.7,0.0,0.167,,,,0.0,2.4,👀 Monitor,Mixed signals — no clear structural issue,True,False,False
Women's Acrobat and Tumbling,Black or African American,Black,2022,10.7,0.0,0.0,0.0,-0.167,-16.7,0.0,,-10.7,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,True,False
Women's Acrobat and Tumbling,Black or African American,Black,2023,7.8,0.0,0.0,0.0,0.0,0.0,0.0,,-7.8,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,False,False
Women's Acrobat and Tumbling,Black or African American,Black,2024,18.2,40.0,16.7,0.233,0.233,40.0,16.7,0.417,13.0,🚧 Promotion Gap,Representation drops significantly at Head Coach level,True,True,False
Women's Acrobat and Tumbling,Black or African American,Black,2025,16.1,13.3,11.1,0.022,-0.211,-26.7,-5.6,0.833,-3.6,⚠️ Pipeline Risk,Low assistant representation limits future HC pipeline,False,True,False
Women's Acrobat and Tumbling,Hispanic or Latino,Hispanic,2012,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Hispanic or Latino,Hispanic,2013,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Hispanic or Latino,Hispanic,2014,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Hispanic or Latino,Hispanic,2015,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Hispanic or Latino,Hispanic,2016,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Hispanic or Latino,Hispanic,2017,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
Women's Acrobat and Tumbling,Hispanic or Latino,Hispanic,2018,,,,,,,,,,👀 Monitor,Mixed signals — no clear structural issue,False,False,False
